valid_time_gmt,pressure
2012-03-08 15:53:00,29.33
2012-03-08 16:53:00,29.35
2012-03-08 17:53:00,29.36
2012-03-08 18:53:00,29.36
2012-03-08 19:53:00,29.37
2012-03-08 20:53:00,29.37
2012-03-08 21:53:00,29.38
2012-03-08 22:53:00,29.39
2012-03-08 23:53:00,29.4
2012-03-09 00:53:00,29.4
2012-03-09 01:53:00,29.38
2012-03-09 02:53:00,29.37
2012-03-09 03:53:00,29.37
2012-03-09 04:53:00,29.37
2012-03-09 05:53:00,29.37
2012-03-09 06:53:00,29.38
2012-03-09 07:53:00,29.38
2012-03-09 08:53:00,29.37
2012-03-09 09:53:00,29.36
2012-03-09 10:53:00,29.34
2012-03-09 11:53:00,29.3
2012-03-14 21:53:00,29.3
2012-03-14 22:53:00,29.3
2012-03-14 23:27:00,29.33
2012-03-14 23:53:00,29.3
2012-03-15 01:53:00,29.3
2012-03-15 06:31:00,29.3
2012-03-17 07:53:00,28.88
2012-03-17 08:53:00,28.86
2012-03-17 09:53:00,28.85
2012-03-17 10:50:00,28.87
2012-03-17 11:53:00,28.86
2012-03-17 12:53:00,28.86
2012-03-17 13:53:00,28.86
2012-03-17 14:53:00,28.87
2012-03-17 15:53:00,28.86
2012-03-17 16:53:00,28.86
2012-03-17 17:53:00,28.87
2012-03-17 18:53:00,28.88
2012-03-17 23:53:00,28.88
2012-03-18 00:53:00,28.88
2012-03-18 01:53:00,28.87
2012-03-18 02:53:00,28.86
2012-03-18 03:53:00,28.86
2012-03-18 04:53:00,28.86
2012-03-18 05:53:00,28.88
2012-04-12 02:19:00,29.3
2012-04-12 06:10:00,29.3
2012-04-12 06:53:00,29.3
2012-04-12 07:53:00,29.31
2012-04-12 08:53:00,29.31
2012-04-12 09:16:00,29.34
2012-04-12 09:40:00,29.34
2012-04-12 09:53:00,29.32
2012-04-12 10:53:00,29.32
2012-04-12 11:53:00,29.31
2012-04-15 07:53:00,29.3
2012-04-15 08:53:00,29.31
2012-04-15 09:53:00,29.31
2012-04-15 10:53:00,29.31
2012-04-15 11:53:00,29.3
2012-04-16 08:53:00,29.3
2012-04-16 09:53:00,29.3
2012-04-25 15:53:00,28.88
2012-05-23 13:53:00,28.88
2012-05-23 14:53:00,28.87
2012-05-23 15:53:00,28.85
2012-05-23 16:53:00,28.83
2012-05-23 17:53:00,28.83
2012-05-23 18:53:00,28.84
2012-05-23 19:53:00,28.84
2012-05-23 20:53:00,28.84
2012-05-23 21:53:00,28.85
2012-05-23 22:53:00,28.86
2012-05-23 23:53:00,28.86
2012-05-24 00:53:00,28.86
2012-05-24 01:53:00,28.85
2012-05-24 02:53:00,28.84
2012-05-24 03:53:00,28.84
2012-05-24 04:53:00,28.84
2012-05-24 05:53:00,28.85
2012-05-24 06:53:00,28.86
2012-05-24 07:53:00,28.88
2012-05-24 09:53:00,28.88
2012-05-24 10:53:00,28.87
2012-05-24 11:53:00,28.86
2012-05-24 12:53:00,28.85
2012-05-24 13:53:00,28.84
2012-05-24 14:53:00,28.83
2012-05-24 15:53:00,28.82
2012-05-24 16:53:00,28.8
2012-05-24 17:53:00,28.8
2012-05-24 18:53:00,28.81
2012-05-24 19:53:00,28.83
2012-05-24 20:53:00,28.83
2012-05-24 21:53:00,28.84
2012-05-24 22:53:00,28.86
2012-05-24 23:53:00,28.86
2012-05-25 00:53:00,28.85
2012-05-25 01:49:00,28.88
2012-05-25 01:53:00,28.84
2012-05-25 02:04:00,28.88
2012-05-25 02:24:00,28.88
2012-05-25 02:46:00,28.88
2012-05-25 02:53:00,28.85
2012-05-25 03:17:00,28.88
2012-05-25 03:53:00,28.86
2012-05-25 04:53:00,28.85
2012-05-25 05:53:00,28.85
2012-05-25 06:53:00,28.87
2012-05-25 07:53:00,28.88
2012-05-25 08:53:00,28.88
2012-05-25 09:53:00,28.88
2012-05-25 14:53:00,28.88
2012-05-25 16:53:00,28.88
