osmid,created_by,geometry,amenity,tourism,name,station,railway,cuisine,shop
415515200,,POINT (145.1226082 -38.143539),pub,,,,,,
415515201,,POINT (145.1250845 -38.1408469),parking,,Bayside Shopping Centre Parking,,,,
415515203,,POINT (145.1243653 -38.1436025),pharmacy,,Chemist Warehouse,,,,
428222035,,POINT (145.1266345 -38.1460347),fire_station,,,,,,
445411877,,POINT (145.1204742 -38.1452014),pub,,Grand Hotel,,,,
445411878,,POINT (145.1191921 -38.1452774),pub,,Davies,,,,
445411879,,POINT (145.119855 -38.1449481),pub,,Flannigans,,,,
445411886,,POINT (145.1204416 -38.1441003),toilets,,,,,,
449383916,,POINT (145.1384901 -38.1496662),,,Anaconda,,,,outdoor
449383917,,POINT (145.1375835 -38.1471265),,,Harvey Norman,,,,department_store
449383918,,POINT (145.1365932 -38.1490827),,,Dick Smith,,,,electronics
449383919,,POINT (145.135794 -38.1483034),,,JB HiFi,,,,hifi
449383920,,POINT (145.1356555 -38.1486347),,,Rays Outdoors,,,,outdoor
449383921,,POINT (145.1388334 -38.1488098),,,Spotlight,,,,department_store
469467228,,POINT (145.139166 -38.1479112),,,The Good Guys,,,,department_store
477116098,,POINT (145.2085726 -38.1424002),fast_food,,Big Fish,,,,
477116835,,POINT (145.2035097 -38.1505448),,,,,,,convenience
477116837,,POINT (145.2088827 -38.158293),fire_station,,Langwarrin Fire Station,,,,
477116956,,POINT (145.1970123 -38.1504503),post_box,,,,,,
477116957,,POINT (145.1965574 -38.1507608),pharmacy,,,,,,
477205783,,POINT (145.1661027 -38.1414727),school,,Karingal Heights Primary School,,,,
477205792,,POINT (145.1658169 -38.1521414),fast_food,,McDonald's,,,burger,
477225552,,POINT (144.9933326 -38.311332),fuel,,,,,,
519557975,,POINT (145.1058307 -38.1558258),,viewpoint,,,,,
519653498,,POINT (145.0454467 -38.2285011),fast_food,,Hungry Jacks,,,,
519653499,,POINT (145.0457847 -38.2283663),fast_food,,KFC,,,,
519653500,,POINT (145.0462085 -38.2280336),fuel,,7 Eleven,,,,
519653501,,POINT (145.0445562 -38.2307935),fast_food,,McDonald's,,,burger,
519653502,,POINT (145.0449961 -38.2304901),fast_food,,Red Rooster,,,,
559934014,,POINT (144.9923419 -38.3120781),parking,,,,,,
585128018,,POINT (145.1376987 -38.1652128),fuel,,BP,,,,
604292318,,POINT (145.1246202 -38.1397104),,,Kmart,,,,variety
604292555,,POINT (145.1235994 -38.1420184),,,Target,,,,variety
604292950,,POINT (145.1261088 -38.1405606),parking,,Bayside Shopping Centre Parking,,,,
604293110,,POINT (145.1241829 -38.1398041),parking,,Bayside Shopping Centre Parking,,,,
604293346,,POINT (145.1231748 -38.141484),parking,,Bayside Shopping Centre Parking,,,,
605177328,,POINT (145.141383 -38.1847585),pharmacy,,Chemist Warehouse,,,,
610785621,,POINT (144.9677404 -38.3315472),pub,,Dromana Hotel,,,,
610957152,,POINT (144.8875802 -38.4789878),,viewpoint,Lookout,,,,
610957196,,POINT (144.89347 -38.4797699),parking,,Fingal Beach Picnic Area,,,,
610957555,,POINT (144.8932278 -38.4773825),parking,,Fingal Beach Picnic Area,,,,
613995085,,POINT (145.177832 -38.1455102),,artwork,,,,,
613995086,,POINT (145.1777025 -38.1457734),,artwork,,,,,
613995088,,POINT (145.1767571 -38.1456521),,artwork,,,,,
613995092,,POINT (145.1767557 -38.1456774),,artwork,,,,,
613995093,,POINT (145.1767557 -38.1457027),,artwork,,,,,
613995094,,POINT (145.1774893 -38.1464995),,artwork,,,,,
613995095,,POINT (145.1768851 -38.1463709),,artwork,,,,,
613995096,,POINT (145.1756245 -38.1461974),,artwork,,,,,
613995097,,POINT (145.1759692 -38.1459442),,artwork,,,,,
613995098,,POINT (145.1761623 -38.1458124),,artwork,,,,,
613995099,,POINT (145.1760764 -38.1452555),,artwork,,,,,
613995100,,POINT (145.1772244 -38.1458904),,artwork,,,,,
613995101,,POINT (145.1775041 -38.1460898),,artwork,,,,,
613995102,,POINT (145.1771111 -38.1464141),,artwork,,,,,
613995103,,POINT (145.1773264 -38.1465027),,artwork,,,,,
613995108,,POINT (145.1757123 -38.1458409),,artwork,,,,,
613995110,,POINT (145.1754233 -38.1462896),,artwork,,,,,
613995114,,POINT (145.1759323 -38.1463524),,artwork,,,,,
613995115,,POINT (145.1761267 -38.1460196),,artwork,,,,,
613995117,,POINT (145.175949 -38.1457222),,artwork,,,,,
613995122,,POINT (145.1764862 -38.1460334),,gallery,McClelland Gallery and Sculpture Park,,,,
613995125,,POINT (145.1766115 -38.1463397),,artwork,,,,,
613995128,,POINT (145.1765362 -38.1457146),cafe,,McClelland Gallery Café,,,,
616892656,,POINT (145.0915299 -38.1826513),toilets,,,,,,
617532026,,POINT (145.1258816 -38.3741939),toilets,,,,,,
617532610,,POINT (145.1249803 -38.3730163),,,IGA,,,,supermarket
617538065,,POINT (145.0781927 -38.4237069),,viewpoint,,,,,
617539470,,POINT (145.071194 -38.423855),,,Point Leo Surf and Life Saving Club,,,,
617539967,,POINT (145.0710438 -38.4228127),toilets,,Mens,,,,
617540033,,POINT (145.0708614 -38.423191),toilets,,Womens,,,,
617540141,,POINT (145.0715985 -38.4231153),cafe,,,,,,
617545282,,POINT (145.0731853 -38.4237509),,camp_site,,,,,
621514993,,POINT (145.1570188 -38.1577791),,viewpoint,,,,,
623720624,,POINT (145.1368825 -38.1460927),fuel,,Caltex Frankston,,,,
623911993,,POINT (145.1249122 -38.2024747),fuel,,United,,,,
631458644,,POINT (145.139855 -38.1744163),fuel,,Coles Express,,,,
631458645,,POINT (145.1905429 -38.1526264),fuel,,Coles Express,,,,
631458646,,POINT (145.0485906 -38.2271277),fuel,,Coles Express,,,,
631458648,,POINT (145.0801488 -38.2540378),fuel,,Coles Express,,,,
633120105,,POINT (145.0390121 -38.2179401),,,Target,,,,department_store
634963067,,POINT (145.0477703 -38.246478),fuel,,Woolworths Petrol,,,,
634963074,,POINT (145.1151427 -38.1501436),fuel,,Caltex,,,,
634963080,,POINT (145.1343785 -38.1490019),fuel,,Woolworths Petrol Frankston,,,,
634963084,,POINT (145.0845673 -38.2412053),fuel,,Caltex,,,,
634963092,,POINT (145.1654371 -38.1515521),fuel,,Woolworths Petrol Karingal,,,,
634963105,,POINT (145.209092 -38.1423533),fuel,,Woolworths Petrol,,,,
634963130,,POINT (145.2142558 -38.1398926),fuel,,,,,,
634963143,,POINT (145.1762537 -38.1416564),fuel,,Woolworths Petrol Frankston North,,,,
638198176,,POINT (145.1964526 -38.1499238),fuel,,BP,,,,
643035973,,POINT (145.1634608 -38.1541236),fuel,,7 Eleven Karingal,,,,
651020904,,POINT (145.1657632 -38.15111),restaurant,,Hogs Breath Cafe,,,,
651021502,,POINT (145.1656613 -38.1522553),fast_food,,Subway,,,,
651021878,,POINT (145.1645616 -38.153719),,,Big W,,,,department_store
651022640,,POINT (145.1655969 -38.1537486),bank,,Commonwealth Bank,,,,
651022812,,POINT (145.1643283 -38.1531918),bank,,Westpac,,,,
662734046,,POINT (145.1697162 -38.2233494),fast_food,,McDonald's,,,burger,
662734452,,POINT (145.1694169 -38.2250039),,,Target,,,,variety
662735847,,POINT (145.1831111 -38.2995085),fuel,,United,,,,
667792116,,POINT (145.0774243 -38.258503),fuel,,United,,,,
692570445,,POINT (145.0480895 -38.2453496),,,Woolworths,,,,supermarket
716308091,,POINT (145.1820361 -38.1997058),fuel,,Shell,,,,
716430028,,POINT (145.0531798 -38.2066955),bench,,,,,,
716430032,,POINT (145.0518119 -38.2082256),bench,,,,,,
716430035,,POINT (145.0498592 -38.2100339),bench,,,,,,
768268914,,POINT (145.2013784 -38.1467268),,,,,,,
772366476,,POINT (145.1599099 -38.1522694),toilets,,,,,,
788488776,,POINT (145.2018755 -38.1505131),school,,Langwarrin Park Primary School,,,,
788488796,,POINT (145.2034848 -38.1506523),post_box,,Northgateway,,,,
788488804,,POINT (145.1916294 -38.1551111),school,,St Judes Catholic Primary School,,,,
832428965,,POINT (144.8782196 -38.4646035),,viewpoint,Lookout,,,,
832432259,,POINT (144.886717 -38.4821839),,viewpoint,Lookout,,,,
876653284,,POINT (145.1249436 -38.141411),,,Myer,,,,department_store
892670563,,POINT (145.121461 -38.1748401),school,,Overport Primary School,,,,
1012105625,,POINT (145.1261678 -38.1397914),,,Aldi,,,,supermarket
1030335597,,POINT (145.1285756 -38.1594914),school,,Frankston Heights Primary School,,,,
1030341199,,POINT (145.1468586 -38.1611622),school,,Frankston Heights Primary School,,,,
1056793276,,POINT (145.1270165 -38.374217),bbq,,,,,,
1060450332,,POINT (145.1916781 -38.3261859),,viewpoint,,,,,
1060450425,,POINT (145.2017577 -38.3384078),parking,,,,,,
1072484706,,POINT (144.9442914 -38.3732038),parking,,,,,,
1084626527,,POINT (145.1185742 -38.1476781),parking,,,,,,
1129138322,,POINT (145.1458418 -38.1479735),,,Eastside Laundrette,,,,laundry
1172044795,,POINT (145.1298237 -38.1420036),,,The Washing Spot,,,,laundry
1172044796,,POINT (145.123601 -38.1427166),cafe,,Gloria Jeans Coffee,,,coffee_shop,
1172044798,,POINT (145.1231482 -38.1425529),,,Toys R Us,,,,toys
1172044799,,POINT (145.1233086 -38.1427567),,,Rebel Sport,,,,sport
1172044801,,POINT (145.1297459 -38.1419615),cafe,,Degani Cafe,,,,
1172044806,,POINT (145.1298886 -38.1420193),pharmacy,,,,,,
1172048978,,POINT (145.1262696 -38.1410712),,,Bob Jane Tmart,,,,car_repair
1172058785,,POINT (145.1234936 -38.1426047),,,Express Cuts,,,,hairdresser
1172058788,,POINT (145.1239522 -38.1424127),pharmacy,,,,,,
1172058803,,POINT (145.1236947 -38.1425287),,,Sanity,,,,hifi
1172070402,,POINT (145.1245207 -38.140508),,,1st Choice Liquor Superstore,,,,alcohol
1186759582,,POINT (144.9755793 -38.3277744),,,,,,,convenience
1186781493,,POINT (144.9780711 -38.3283131),,motel,Blue Dolphin Motel,,,,
1188667664,,POINT (144.890479 -38.3615964),,,Target,,,,department_store
1188667667,,POINT (144.8912895 -38.3615842),,,Kmart,,,,department_store
1190349816,,POINT (144.984578 -38.3313441),telephone,,,,,,
1190358372,,POINT (144.9735662 -38.3393348),post_box,,,,,,
1193796708,,POINT (144.9649093 -38.3339803),,,Ritchies Supa IGA,,,,supermarket
1193811262,,POINT (144.9653345 -38.332699),bank,,NAB,,,,
1193811265,,POINT (144.9646264 -38.3338036),,,Baker's Delight,,,,bakery
1193845612,,POINT (144.9674076 -38.3338129),parking,,,,,,
1193845620,,POINT (144.9679736 -38.3320393),parking,,,,,,
1193845629,,POINT (144.9639288 -38.334036),parking,,,,,,
1193845636,,POINT (144.9667076 -38.3336825),parking,,,,,,
1193845651,,POINT (144.9675551 -38.3312506),parking,,,,,,
1193845660,,POINT (144.9670348 -38.3324139),parking,,,,,,
1194013498,,POINT (145.1404779 -38.1746725),bbq,,,,,,
1194013589,,POINT (145.1416709 -38.1742002),bbq,,,,,,
1196455346,,POINT (144.9233555 -38.3508566),fuel,,BP,,,,
1203922796,,POINT (144.8848897 -38.3790476),fuel,,Peninsula Gas and Fuel,,,,
1214806053,,POINT (145.0445008 -38.4273941),fire_station,,,,,,
1214806618,,POINT (145.0446081 -38.4279152),post_box,,Shoreham Post Office,,,,
1214806828,,POINT (145.0461745 -38.4229394),place_of_worship,,,,,,
1218224072,,POINT (145.0613785 -38.2196256),cafe,,,,,,
1218224074,,POINT (145.0623227 -38.2194823),,,BCF,,,,boating
1218224075,,POINT (145.061164 -38.2185389),,,Officeworks,,,,stationery
1229982421,,POINT (145.0386696 -38.2199825),bank,,NAB,,,,
1229983424,,POINT (145.0376638 -38.2185369),fast_food,,Subway,,,,
1229989376,,POINT (145.0387789 -38.2205109),,,1st Choice Liquor,,,,alcohol
1229989832,,POINT (145.0377998 -38.2193164),cafe,,,,,,
1229989840,,POINT (145.0385831 -38.2192657),cafe,,Banjos,,,,bakery
1229990177,,POINT (145.0388403 -38.2195774),bank,,Westpac,,,,
1229990178,,POINT (145.0389423 -38.2196996),post_office,,Australia Post,,,,
1229990183,,POINT (145.0387035 -38.2194404),bank,,ANZ,,,,
1229990952,,POINT (145.0383656 -38.2195373),bank,,Bendigo Bank,,,,
1229993223,,POINT (145.03751 -38.2192697),toilets,,,,,,
1229993756,,POINT (145.0401494 -38.2190421),parking,,Undercover Parking,,,,
1229994603,,POINT (145.038919 -38.2198597),post_box,,,,,,
1229994605,,POINT (145.0371434 -38.2177419),cafe,,Gloria Jeans Coffee,,,,
1229994607,,POINT (145.0391899 -38.2200283),pub,,,,,,
1229995635,,POINT (145.040633 -38.2233303),fast_food,,Nandos,,,,
1230170553,,POINT (145.0655843 -38.2384075),fuel,,,,,,
1233431868,,POINT (145.1458175 -38.1480669),waste_basket,,,,,,
1237961202,,POINT (145.19505 -38.3072154),bbq,,,,,,
1237961207,,POINT (145.1959373 -38.3079639),,,Skate Ramp,,,,
1237961211,,POINT (145.1937711 -38.3173923),,caravan_site,Marina View Van Village,,,,
1237961221,,POINT (145.1962967 -38.3080607),,,,,,,
1237961225,,POINT (145.1952431 -38.3084614),kindergarten,,Hastings Kindergarten,,,,
1237961229,,POINT (145.1949642 -38.3071734),drinking_water,,,,,,
1237961246,,POINT (145.1970638 -38.308187),swimming_pool,,Pelican Park Swimming Pool,,,,
1240896820,,POINT (145.1222792 -38.1426896),toilets,,,,,,
1240899371,,POINT (145.1246149 -38.1411787),cafe,,Muffin Break,,,coffee_shop,
1240899372,,POINT (145.1246415 -38.1410984),fast_food,,Subway,,,sandwich,
1240899373,,POINT (145.1244403 -38.1409655),fast_food,,KFC,,,chicken,
1240899375,,POINT (145.1245986 -38.1409908),fast_food,,McDonalds's,,,burger,
1240903100,,POINT (145.1243414 -38.1418453),fast_food,,Fancy Fillings,,,sandwich,
1240903106,,POINT (145.1242043 -38.1418114),fast_food,,Donut King,,,ice-cream,
1240903107,,POINT (145.1242901 -38.141628),fast_food,,Wendys,,,ice_cream,
1240909734,,POINT (145.1221576 -38.1413155),restaurant,,Rugantino's,,,italian,
1240909740,,POINT (145.1213052 -38.1415731),restaurant,,La Porchetta,,,pizza,
1246670494,,POINT (145.1592335 -38.1944588),,,Woolworths liquor,,,,alcohol
1247896688,,POINT (145.169874 -38.2247055),pharmacy,,,,,,
1247896691,,POINT (145.1701744 -38.224499),,,Best and Less,,,,clothes
1247896693,,POINT (145.1700993 -38.2235255),fast_food,,Nandos,,,chicken,
1247896702,,POINT (145.17312 -38.2239206),fast_food,,Subway,,,sandwich,
1247896703,,POINT (145.1702549 -38.2235423),bank,,Westpac,,,,
1247896827,,POINT (145.174187 -38.2232798),place_of_worship,,,,,,
1247896828,,POINT (145.1746537 -38.2242069),pub,,,,,,
1247896858,,POINT (145.1854858 -38.2851979),,,Bunnings Warehouse,,,,doityourself
1266906766,,POINT (144.9228152 -38.3516033),,,Coles,,,,supermarket
1304254505,,POINT (145.0475257 -38.2266444),,,Motor Court Toyota,,,,car
1304254661,,POINT (145.0481612 -38.2260823),pub,,,,,,
1304254666,,POINT (145.0481338 -38.2263055),,,Thirsty Camel,,,,alcohol
1311514280,,POINT (145.1243582 -38.1409453),fast_food,,Oporto,,,,
1315843930,,POINT (145.135443 -38.15324),bbq,,,,,,
1315843931,,POINT (145.1353664 -38.1523184),drinking_water,,,,,,
1315843932,,POINT (145.1350097 -38.1532094),drinking_water,,,,,,
1315843933,,POINT (145.136204 -38.1515484),bicycle_parking,,,,,,
1315843934,,POINT (145.1350073 -38.1525167),bicycle_parking,,,,,,
1315843935,,POINT (145.1350154 -38.1531284),bicycle_parking,,,,,,
1315843936,,POINT (145.1362975 -38.1518312),drinking_water,,,,,,
1315843937,,POINT (145.1355221 -38.1538517),drinking_water,,,,,,
1315843938,,POINT (145.1361553 -38.1531189),bicycle_parking,,,,,,
1317171007,,POINT (145.1321116 -38.1600444),bench,,,,,,
1326356891,,POINT (145.1367811 -38.166206),fast_food,,Domino's Pizza,,,pizza,
1327186002,,POINT (145.1353047 -38.1528265),drinking_water,,,,,,
1327186010,,POINT (145.1369784 -38.1529573),bbq,,,,,,
1327221477,,POINT (145.1320687 -38.1533672),toilets,,,,,,
1327221478,,POINT (145.1294267 -38.1533387),toilets,,,,,,
1345448683,,POINT (145.1577117 -38.1718197),bench,,,,,,
1345448684,,POINT (145.1576699 -38.1708136),fast_food,,,,,,
1345448685,,POINT (145.1577611 -38.1707797),,,,,,,hairdresser
1345448687,,POINT (145.1575339 -38.1711534),,,,,,,convenience
1345448689,,POINT (145.1576592 -38.1709442),,,,,,,bakery
1345449227,,POINT (145.1375488 -38.1446997),,,Battery World Frankston,,,,car_repair
1350079827,,POINT (145.1378072 -38.1521472),bbq,,,,,,
1350079830,,POINT (145.1375014 -38.1528074),bbq,,,,,,
1350079835,,POINT (145.1374182 -38.1529572),bbq,,,,,,
1350079844,,POINT (145.1376918 -38.1523771),bbq,,,,,,
1350079850,,POINT (145.1376569 -38.1525268),bbq,,,,,,
1352385947,,POINT (145.1388445 -38.1510468),,,Deane Street Milk Bar and Takeaway,,,,convenience
1363137181,,POINT (145.135987 -38.1471755),fuel,,7 Eleven Frankston,,,,
1363138852,,POINT (145.1225652 -38.1405975),fuel,,Coles Express Frankston,,,,
1363138853,,POINT (145.1221631 -38.1397799),fuel,,BP Big Pine,,,,
1368583891,,POINT (145.126033 -38.3757007),place_of_worship,,Uniting,,,,
1368583896,,POINT (145.0564452 -38.3613587),,guest_house,Billabong,,,,
1368583901,,POINT (145.1234361 -38.3742709),restaurant,,Heritage Tavern,,,,
1368583914,,POINT (145.1270946 -38.3740858),bbq,,,,,,
1368583931,,POINT (145.1268264 -38.3730008),place_of_worship,,St. Marks Anglican,,,,
1368583935,,POINT (145.1257213 -38.372984),restaurant,,Hoolies Inn,,,,
1376495232,,POINT (145.124261 -38.1374046),,motel,Quest Apartments,,,,
1379478481,,POINT (145.0384179 -38.244512),restaurant,,Black Angus Steakhouse,,,steak_house,
1399402342,,POINT (145.0025559 -38.2807736),,guest_house,Puddleduck cottage,,,,
1437383065,,POINT (145.2223074 -38.374459),,,,,,,
1449395214,,POINT (145.0131984 -38.3697507),toilets,,,,,,
1459468634,,POINT (145.0940357 -38.1727294),parking,,,,,,
1459472486,,POINT (145.0757106 -38.1876023),school,,,,,,
1477520339,,POINT (144.8870382 -38.4746784),,viewpoint,,,,,
1496855648,,POINT (145.134342 -38.1525633),bicycle_parking,,,,,,
1503133901,,POINT (145.1243528 -38.1408851),toilets,,,,,,
1503133902,,POINT (145.1206932 -38.1425127),toilets,,,,,,
1509577388,,POINT (145.1841927 -38.2849155),fuel,,7 Eleven,,,,
1517744385,,POINT (145.063531 -38.1998939),toilets,,,,,,
1520506938,,POINT (145.1251989 -38.1433669),,,7 Eleven,,,,convenience
1557899321,,POINT (145.2333827 -38.2024458),fuel,,BP,,,,
1559850461,,POINT (144.8898413 -38.3703536),fire_station,,Country Fire Authority,,,,
1560009693,,POINT (144.8983494 -38.3783433),parking,,,,,,
1560502950,,POINT (144.9276048 -38.3728536),parking,,Golf Course Car Park,,,,
1560576624,,POINT (144.9282351 -38.3481295),parking,,,,,,
1560576625,,POINT (144.927527 -38.3483903),parking,,,,,,
1561035917,,POINT (145.0106341 -38.3428757),parking,,,,,,
1561035920,,POINT (145.0106609 -38.3419963),parking,,,,,,
1561040927,,POINT (145.0032419 -38.2969881),,viewpoint,Mt Martha,,,,
1561234424,,POINT (145.0372068 -38.2516332),parking,,,,,,
1564470477,,POINT (145.193367 -38.3075901),pub,,Westernport Hotel,,,,
1564877000,,POINT (145.1642712 -38.3899228),toilets,,,,,,
1566731905,,POINT (144.9910705 -38.3007469),parking,,,,,,
1570445104,,POINT (145.2042201 -38.3659103),parking,,Crib Point Station Car Park,,,,
1570467830,,POINT (145.1779908 -38.3371289),parking,,Bitten Railway Station Car Park,,,,
1572130467,,POINT (145.2215159 -38.3750893),parking,,,,,,
1572246020,,POINT (145.1914591 -38.3033373),place_of_worship,,Immaculate Conception Catholic Church,,,,
1572251077,,POINT (145.1866901 -38.2834691),,,Bowens Hardware,,,,doityourself
1572268964,,POINT (145.1677215 -38.263427),parking,,,,,,
1572268969,,POINT (145.1686818 -38.2620286),parking,,,,,,
1572271039,,POINT (145.1654738 -38.260904),parking,,,,,,
1572560503,,POINT (145.2298742 -38.202615),parking,,,,,,
1572563954,,POINT (145.2288335 -38.2030619),parking,,,,,,
1575082061,,POINT (145.0174065 -38.3918502),restaurant,,Red Hill Brewery,,,,
1582291667,,POINT (145.1522158 -38.15173),restaurant,,Fratelli Pizza e Pasta,,,,
1582291668,,POINT (145.1513253 -38.1515529),fast_food,,McDonald's,,,burger,
1582291669,,POINT (145.1518135 -38.1516498),fast_food,,KFC,,,chicken,
1582293760,,POINT (145.1481029 -38.1499598),restaurant,,Frankston RSL,,,,
1583411496,,POINT (145.1949753 -38.1521323),pub,,Beretta's Langwarrin Hotel,,,,
1583411760,,POINT (145.1613081 -38.1967073),pub,,Baxter Tavern,,,,
1583411761,,POINT (145.1594628 -38.1941735),,,Woolworths,,,,supermarket
1583411932,,POINT (145.0469951 -38.2448356),,,Dan Murphys,,,,alcohol
1583411945,,POINT (145.0389715 -38.2204473),,,NQR,,,,convenience
1583411964,,POINT (145.0616891 -38.2212812),,,Harvey Norman,,,,department_store
1583411965,,POINT (145.0594253 -38.219903),,,Bunnings Warehouse,,,,doityourself
1583412410,,POINT (145.1522246 -38.1392358),,,Coles,,,,supermarket
1583412509,,POINT (145.152444 -38.1392316),,,Liquorland,,,,alcohol
1583412565,,POINT (145.1357982 -38.1503818),,,Bunnings Warehouse,,,,doityourself
1583413541,,POINT (145.1304558 -38.1420244),,,7 Eleven,,,,convenience
1599485492,,POINT (145.026535 -38.408),restaurant,,Montalto Vineyard & Olive Grove,,,,
1599504928,,POINT (144.974525 -38.387936),,,Main Ridge Dairy,,,,dairy
1607127378,,POINT (145.1379538 -38.1449203),,,,,,,car
1607127389,,POINT (145.1390159 -38.145397),,,,,,,car
1607130170,,POINT (145.1902773 -38.2996035),place_of_worship,,,,,,
1607130272,,POINT (145.186935 -38.312396),,,,,,,
1617368682,,POINT (145.2480921 -38.2476714),,,Yaringa Chandlery,,,,doityourself
1617368692,,POINT (145.2496378 -38.2478587),,,Yaringa Boat Hire,,,,boat_hire
1617368704,,POINT (145.2483639 -38.2479452),cafe,,Yaringa Cafe,,,,
1662130008,,POINT (144.9468213 -38.3535738),,viewpoint,Matthew Flinders Cairn,,,,
1671383302,,POINT (145.1408311 -38.1835194),fuel,,United,,,,
